unique_key,surah_number,ayat_number,arabic_root_word,normalized_arabic_word,translitaration_word,english_word_subject_category,english_word_sub_subject_category,word_sub_category_description,inference_flag,hadith_reference
725,2,259, ????????, ????????,ba'asaho,Resurrect ,Uzayr died and was  raised alive after 100 years,"Story of one (Uzayr) who passed by a town all in ruins to its roofs. He said: ""Oh! how shall Allah bring it (ever) to life, after its death?"" Then Allah caused Uzayr to die for a hundred years, then raised him up (again)  and showed him how he brings life to the dead.",,
573,2,253,?????????? ?????? ??????,?????????? ?????? ??????,ba'dahum 'alaa ba'd,One Another,Some Messengers blessed Over Others,"Those messenger. We blessed some above others: To one of them Allah spoke; others He raised to degrees (of honour); to Jesus the son of Mary We gave clear (Signs), and supported him with the holy spirit.",,
537,2,251,?????????? ????????,?????????? ????????,ba'dahum biba'di,One Another,Checks and Balances to control Mischief,"And if Allah did not Check one set of people by means of another, the earth would indeed be full of mischief: But Allah is full of bounty to all the worlds.",,
605,2,255, ?????? ???????????, ?????? ???????????,baina aydeehim,Before Them,Allah knows everything,He knows what is before them and after them and none can encompass anything of His knowledge except that which He wills,,
151,2,232,??????????,??????????,bainahum,Between,Actions during divorce proceedings,"When you divorce women, and they fulfil the term of their ('Iddat), do not prevent them from marrying their (former) husbands, if they mutually agree on equitable terms.",,
582,2,254,??????,??????,bai'un,Bargaining,No Bargaining on Judgement Day,"O ye who believe! Spend out of (the bounties) We have provided for you, before the Day comes when no bargaining (Will avail), nor friendship nor intercession. Those who reject Faith they are the wrong-doers",,
558,2,253,?????????????,?????????????,baiyinaati,Clear Proofs,Jesus given Clear Proof and Supported with Holy Spirit,"Those messenger. We blessed some above others: To one of them Allah spoke; others He raised to degrees (of honour); to Jesus the son of Mary We gave clear (Signs), and supported him with the holy spirit.",,
464,2,248,?????????,?????????,baqiyyatum,Remnant,Remnants Left by Moses & Aaron,"The Prophet said that as proof of Saul's authority there shall come to you the Ark wherein is tranquility from your Lord, and the relics left by the family of Moses and Aaron, carried by angels",,
504,2,250,???????,???????,barazoo,Advance,Fighting Goliath,"When Saul'a army advanced to meet Goliath and his forces, they prayed: ""Our Lord! Pour on us patience and make our steps firm: Help us against those who disbelieve",,
847,2,265,???????,???????,Baseer,All Seer,Allah Sees All That You Do,Allah sees all that you do,,
862,2,265,???????,???????,Baseer,Sees,Allah Sees All That You Do,Allah sees all that you do,,
